:START_ID,:END_ID,:TYPE,edge_id,enzyme_or_system,strain_id,module_id,evidence_tier,evidence_type,effect,source_url,notes
gene:gme_Gmet_1531,pathway:kegg_gme01100,PARTICIPATES_IN,edge:gene:gme_Gmet_1531_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_1531,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1531,Metabolic pathways
gene:gme_Gmet_1531,pathway:kegg_gme01120,PARTICIPATES_IN,edge:gene:gme_Gmet_1531_participates_in_pathway:kegg_gme01120,gene:gme_Gmet_1531,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1531,Microbial metabolism in diverse environments
gene:gme_Gmet_1531,pathway:kegg_gme01220,PARTICIPATES_IN,edge:gene:gme_Gmet_1531_participates_in_pathway:kegg_gme01220,gene:gme_Gmet_1531,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1531,Degradation of aromatic compounds
gene:gme_Gmet_1521,gene:gmet_bbs_efgh,MEMBER_OF,edge:gene:gme_Gmet_1521_member_of_gene:gmet_bbs_efgh,gene:gme_Gmet_1521,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_1521,Individual KEGG locus expanded from seed cluster/operon node
gene:gme_Gmet_1521,pathway:kegg_gme00623,PARTICIPATES_IN,edge:gene:gme_Gmet_1521_participates_in_pathway:kegg_gme00623,gene:gme_Gmet_1521,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1521,Toluene degradation
gene:gme_Gmet_1521,pathway:kegg_gme01100,PARTICIPATES_IN,edge:gene:gme_Gmet_1521_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_1521,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1521,Metabolic pathways
gene:gme_Gmet_1521,pathway:kegg_gme01120,PARTICIPATES_IN,edge:gene:gme_Gmet_1521_participates_in_pathway:kegg_gme01120,gene:gme_Gmet_1521,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1521,Microbial metabolism in diverse environments
gene:gme_Gmet_1521,pathway:kegg_gme01220,PARTICIPATES_IN,edge:gene:gme_Gmet_1521_participates_in_pathway:kegg_gme01220,gene:gme_Gmet_1521,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1521,Degradation of aromatic compounds
gene:gme_Gmet_1522,gene:gmet_bbs_efgh,MEMBER_OF,edge:gene:gme_Gmet_1522_member_of_gene:gmet_bbs_efgh,gene:gme_Gmet_1522,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_1522,Individual KEGG locus expanded from seed cluster/operon node
gene:gme_Gmet_1522,pathway:kegg_gme00623,PARTICIPATES_IN,edge:gene:gme_Gmet_1522_participates_in_pathway:kegg_gme00623,gene:gme_Gmet_1522,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1522,Toluene degradation
gene:gme_Gmet_1522,pathway:kegg_gme01100,PARTICIPATES_IN,edge:gene:gme_Gmet_1522_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_1522,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1522,Metabolic pathways
gene:gme_Gmet_1522,pathway:kegg_gme01120,PARTICIPATES_IN,edge:gene:gme_Gmet_1522_participates_in_pathway:kegg_gme01120,gene:gme_Gmet_1522,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1522,Microbial metabolism in diverse environments
gene:gme_Gmet_1522,pathway:kegg_gme01220,PARTICIPATES_IN,edge:gene:gme_Gmet_1522_participates_in_pathway:kegg_gme01220,gene:gme_Gmet_1522,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1522,Degradation of aromatic compounds
gene:gme_Gmet_1523,gene:gmet_bbs_efgh,MEMBER_OF,edge:gene:gme_Gmet_1523_member_of_gene:gmet_bbs_efgh,gene:gme_Gmet_1523,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_1523,Individual KEGG locus expanded from seed cluster/operon node
gene:gme_Gmet_1523,pathway:kegg_gme00623,PARTICIPATES_IN,edge:gene:gme_Gmet_1523_participates_in_pathway:kegg_gme00623,gene:gme_Gmet_1523,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1523,Toluene degradation
